LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),9,25,31.786533,-6.786533355712891
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),9,0,0.04700221,-0.04700221121311188
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),19,105,71.282845,33.71715545654297
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),21,76,74.251595,1.7484054565429688
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),11,27,39.113667,-12.113666534423828
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,40,37.27729,2.7227096557617188
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.693903,-1.6939029693603516
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,121,28.514223,92.48577690124512
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,58,29.834396,28.165603637695312
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
Elmbridge District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),8,23,30.404512,-7.404512405395508
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,19,26.036242,-7.03624153137207
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.161959,-2.161958694458008
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),9,25,32.258327,-7.258327484130859
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,22.712854,-2.7128543853759766
Epping Forest District,Generation,Solar PV,Eastern Power Networks (EPN),14,54,47.1055,6.894500732421875
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),10,95,39.125404,55.874595642089844
Reigate and Banstead District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),11,0,0.24412708,-0.2441270798444748
Rochford District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,21.861689,-0.8616886138916016
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),18,29,61.5342,-32.53419876098633
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,53,45.61636,7.383640289306641
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),14,62,49.65116,12.348838806152344
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,28,31.383266,-3.3832664489746094
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),15,48,51.91159,-3.911590576171875
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,24,27.069666,-3.0696659088134766
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,23,22.886513,0.11348724365234375
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),41,117,129.91956,-12.9195556640625
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),15,34,52.076805,-18.076805114746094
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),33,111,108.10627,2.8937301635742188
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.115936,-5.115936279296875
Watford District (B),Generation,Solar PV,Eastern Power Networks (EPN),19,54,190.34943,-136.34942626953125
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),18,50,61.26384,-11.263839721679688
Brentwood District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,34,22.886513,11.113487243652344
Enfield London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,23,31.734966,-8.734966278076172
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,52,44.087036,7.9129638671875
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.795174,0.20482635498046875
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),15,54,52.244343,1.7556571960449219
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,50,38.604584,11.395416259765625
Havering London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,29,29.56631,-0.5663108825683594
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),33,101,99.59014,1.4098587036132812
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),14,62,51.180176,10.81982421875
Mole Valley District,Generation + Demand,Battery Storage,South Eastern Power Networks (SPN),6,26,24.28379,1.7162094116210938
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,84,32.521408,51.47859191894531
Bromley London Boro,Generation,Solar PV,London Power Networks (LPN),7,20,25.616076,-5.61607551574707
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),10,31,35.682945,-4.682945251464844
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),10,39,36.558002,2.441997528076172
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),12,37,41.959976,-4.9599761962890625
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,28,32.627518,-4.6275177001953125
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),9,38,32.258327,5.741672515869141
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,34,42.501064,-8.50106430053711
South Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.035113573,-0.03511357307434082
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,42,44.087036,-2.0870361328125
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.886513,-3.8865127563476562
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,28.204897,-1.2048969268798828
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,54,49.981205,4.018795013427734
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),23,128,75.34165,52.658348083496094
Thurrock (B),Generation,Solar PV,Eastern Power Networks (EPN),16,55,59.66538,-4.665378570556641
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.036242,-3.0362415313720703
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,37,45.61636,-8.61635971069336
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,83,41.89343,41.106571197509766
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),15,60,57.544067,2.4559326171875
Watford District (B),Generation,Solar PV,Eastern Power Networks (EPN),20,68,191.95435,-123.954345703125
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.682945,-1.6829452514648438
Hillingdon London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.585867,-1.585866928100586
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,33,39.800076,-6.800075531005859
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),24,79,80.297646,-1.2976455688476562
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),16,50,56.609344,-6.609344482421875
Southend-on-Sea (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.44202447,-0.44202446937561035
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),6,23,23.694813,-0.6948127746582031
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,17,23.280905,-6.280904769897461
Wealden District,Demand,Heat Pump,South Eastern Power Networks (SPN),8,0,-0.36887753,0.3688775300979614
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,75,51.780216,23.219783782958984
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,28,26.418327,1.5816726684570312
Adur District,Generation,Solar PV,South Eastern Power Networks (SPN),8,32,29.56631,2.4336891174316406
Dacorum District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.8473348,0.8473348021507263
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,29.060411,-3.0604114532470703
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),13,45,43.996563,1.0034370422363281
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),16,53,56.609344,-3.609344482421875
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),11,38,39.113667,-1.1136665344238281
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,50,49.981205,0.018795013427734375
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),18,89,61.75085,27.249149322509766
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,28,29.56631,-1.5663108825683594
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),11,44,37.597885,6.4021148681640625
Ipswich District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),8,8,13.157227,-5.1572265625
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.761532,-3.7615318298339844
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),11,36,38.238605,-2.238605499267578
Sutton London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),11,0,0.24412708,-0.2441270798444748
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,37,36.382202,0.6177978515625
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),15,58,52.244343,5.755657196044922
Brentwood District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),12,24,37.097073,-13.09707260131836
Hackney London Boro,Generation,Solar PV,London Power Networks (LPN),6,17,23.545536,-6.545536041259766
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,30,39.800076,-9.80007553100586
Castle Point District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.08841984,-0.0884198397397995
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),11,43,38.238605,4.761394500732422
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),9,35,32.754826,2.2451744079589844
Breckland District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.26353204,-0.26353204250335693
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.876118,-2.876117706298828
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,34,31.383266,2.6167335510253906
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),17,47,58.93075,-11.93075180053711
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),12,35,42.501064,-7.501064300537109
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,22,27.305162,-5.30516242980957
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,21,21.950361,-0.9503612518310547
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),8,23,30.115936,-7.115936279296875
Southwark London Boro,Generation,Solar PV,London Power Networks (LPN),9,23,30.885347,-7.885347366333008
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,29,30.291601,-1.2916011810302734
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,38,37.18167,0.818328857421875
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),7,17,26.874443,-9.874443054199219
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,51,41.959976,9.040023803710938
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,15,25.575472,-10.575471878051758
Three Rivers District,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.20963086,-0.20963086187839508
Braintree District,Demand,EV Charging Point,Eastern Power Networks (EPN),14,0,-0.34492958,0.344929575920105
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),11,37,46.16072,-9.160720825195312
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,24,29.56631,-5.566310882568359
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.2064694,0.20646940171718597
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,20,22.886513,-2.8865127563476562
Uttlesford District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),10,38,35.682945,2.3170547485351562
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),13,45,47.281696,-2.281696319580078
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),13,45,45.664692,-0.6646919250488281
Maldon District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,18,11.997548,6.0024518966674805
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.795174,0.20482635498046875
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),11,39,38.238605,0.7613945007324219
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,43,37.27283,5.727169036865234
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,20,27.854815,-7.854814529418945
East Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,3,11.476267,-8.476266860961914
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,36,26.036242,9.96375846862793
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),11,0,0.23717019,-0.23717018961906433
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,46,44.087036,1.9129638671875
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.058546,0.9414539337158203
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),6,29,22.886513,6.113487243652344
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,36,36.558002,-0.5580024719238281
Kingston upon Thames London Boro,Generation,Solar PV,London Power Networks (LPN),6,19,22.375008,-3.3750076293945312
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,25.395529,-2.395528793334961
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,40,49.981205,-9.981204986572266
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),18,59,61.75085,-2.7508506774902344
Broxbourne District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,25,32.54217,-7.542171478271484
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,26,24.358057,1.6419429779052734
Kingston upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,25,22.795174,2.2048263549804688
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,32.627518,-7.6275177001953125
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),14,45,49.65116,-4.651161193847656
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.058546,0.9414539337158203
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.113667,-3.113666534423828
Haringey London Boro,Generation,Solar PV,Eastern Power Networks (EPN),10,34,33.849037,0.15096282958984375
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),19,59,66.23027,-7.2302703857421875
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,31.79063,-4.790630340576172
Barking and Dagenham London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,21,22.109924,-1.10992431640625
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),9,25,30.885347,-5.885347366333008
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,41,32.258327,8.74167251586914
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),6,23,23.175089,-0.17508888244628906
Epping Forest District,Generation,Solar PV,Eastern Power Networks (EPN),9,26,31.57228,-5.5722808837890625
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,6,26.304327,-20.3043270111084
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,25,27.96023,-2.9602298736572266
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),9,35,31.383266,3.6167335510253906
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.036242,-3.0362415313720703
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),25,66,62.96379,3.0362091064453125
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,32.327248,-7.327247619628906
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,21.600077,-0.6000766754150391
Tandridge District,Generation,Solar PV,South Eastern Power Networks (SPN),6,17,22.795174,-5.795173645019531
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),11,34,37.597885,-3.5978851318359375
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),9,23,29.537083,-6.537082672119141
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),14,48,52.885666,-4.8856658935546875
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,29,30.291601,-1.2916011810302734
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),24,90,86.55282,3.4471817016601562
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,30,29.56631,0.4336891174316406
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,27.854815,-8.854814529418945
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,28,31.383266,-3.3832664489746094
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,29,30.057833,-1.0578327178955078
Huntingdonshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.4727096,-0.472709596157074
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,30,31.383266,-1.3832664489746094
Havering London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,35,38.238605,-3.238605499267578
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.069666,-1.0696659088134766
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.832954,-3.8329544067382812
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),10,39,39.68887,-0.6888694763183594
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),11,0,0.23717019,-0.23717018961906433
Three Rivers District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
Epping Forest District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.3806075,0.3806074857711792
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,29,27.069666,1.9303340911865234
Broxbourne District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,12,23.170355,-11.170354843139648
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,34,30.057833,3.942167282104492
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,32,35.682945,-3.6829452514648438
Lewes District,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
Dacorum District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,17,19.746443,-2.7464427947998047
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,28,30.115936,-2.115936279296875
Bromley London Boro,Generation,Solar PV,London Power Networks (LPN),7,23,25.616076,-2.6160755157470703
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),27,83,86.21157,-3.2115707397460938
Buckinghamshire,Demand,Heat Pump,Eastern Power Networks (EPN),18,0,1.1995873,-1.199587345123291
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,62,42.498356,19.501644134521484
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),14,47,49.99564,-2.9956398010253906
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,28.698622,-0.6986217498779297
Tandridge District,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.886513,-3.8865127563476562
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,41,44.087036,-3.0870361328125
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),24,0,2.8582656,-2.8582656383514404
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,27,31.383266,-4.383266448974609
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,52,48.137257,3.862743377685547
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,41,27.854815,13.145185470581055
